	5%	10%	15%	20%	25%	30%	35%	40%	45%	50%
1	30,000	30,000	30,000	30,000	30,000	30,000	30,000	30,000	30,000	30,000
2	58,500	57,000	55,500	54,000	52,500	51,000	49,500	48,000	46,500	45,000
3	87,000	84,000	81,000	78,000	75,000	72,000	69,000	66,000	63,000	60,000
4	115,500	111,000	106,500	102,000	97,500	93,000	88,500	84,000	79,500	75,000
5	144,000	138,000	132,000	126,000	120,000	114,000	108,000	102,000	96,000	90,000
6	172,500	165,000	157,500	150,000	142,500	135,000	127,500	120,000	112,500	105,000
7	201,000	192,000	183,000	174,000	165,000	156,000	147,000	138,000	129,000	120,000
8	229,500	219,000	208,500	198,000	187,500	177,000	166,500	156,000	145,500	135,000
9	258,000	246,000	234,000	222,000	210,000	198,000	186,000	174,000	162,000	150,000
10	286,500	273,000	259,500	246,000	232,500	219,000	205,500	192,000	178,500	165,000
	5%	10%	15%	20%	25%	30%	35%	40%	45%	50%
1	35,000	35,000	35,000	35,000	35,000	35,000	35,000	35,000	35,000	35,000
2	68,250	66,500	64,750	63,000	61,250	59,500	57,750	56,000	54,250	52,500
3	101,500	98,000	94,500	91,000	87,500	84,000	80,500	77,000	73,500	70,000
4	134,750	129,500	124,250	119,000	113,750	108,500	103,250	98,000	92,750	87,500
5	168,000	161,000	154,000	147,000	140,000	133,000	126,000	119,000	112,000	105,000
6	201,250	192,500	183,750	175,000	166,250	157,500	148,750	140,000	131,250	122,500
7	234,500	224,000	213,500	203,000	192,500	182,000	171,500	161,000	150,500	140,000
8	267,750	255,500	243,250	231,000	218,750	206,500	194,250	182,000	169,750	157,500
9	301,000	287,000	273,000	259,000	245,000	231,000	217,000	203,000	189,000	175,000
10	334,250	318,500	302,750	287,000	271,250	255,500	239,750	224,000	208,250	192,500
	5%	10%	15%	20%	25%	30%	35%	40%	45%	50%
1	40,000	40,000	40,000	40,000	40,000	40,000	40,000	40,000	40,000	40,000
2	78,000	76,000	74,000	72,000	70,000	68,000	66,000	64,000	62,000	60,000
3	116,000	112,000	108,000	104,000	100,000	96,000	92,000	88,000	84,000	80,000
4	154,000	148,000	142,000	136,000	130,000	124,000	118,000	112,000	106,000	100,000
5	192,000	184,000	176,000	168,000	160,000	152,000	144,000	136,000	128,000	120,000
6	230,000	220,000	210,000	200,000	190,000	180,000	170,000	160,000	150,000	140,000
7	268,000	256,000	244,000	232,000	220,000	208,000	196,000	184,000	172,000	160,000
8	306,000	292,000	278,000	264,000	250,000	236,000	222,000	208,000	194,000	180,000
9	344,000	328,000	312,000	296,000	280,000	264,000	248,000	232,000	216,000	200,000
10	382,000	364,000	346,000	328,000	310,000	292,000	274,000	256,000	238,000	220,000
	5%	10%	15%	20%	25%	30%	35%	40%	45%	50%
1	45,000	45,000	45,000	45,000	45,000	45,000	45,000	45,000	45,000	45,000
2	87,750	85,500	83,250	81,000	78,750	76,500	74,250	72,000	69,750	67,500
3	130,500	126,000	121,500	117,000	112,500	108,000	103,500	99,000	94,500	90,000
4	173,250	166,500	159,750	153,000	146,250	139,500	132,750	126,000	119,250	112,500
5	216,000	207,000	198,000	189,000	180,000	171,000	162,000	153,000	144,000	135,000
6	258,750	247,500	236,250	225,000	213,750	202,500	191,250	180,000	168,750	157,500
7	301,500	288,000	274,500	261,000	247,500	234,000	220,500	207,000	193,500	180,000
